[2026-01-23T16:09:50.314+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022002.1 already exists. Skipping.
[2026-01-23T16:09:50.327+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022003.1 already exists. Skipping.
[2026-01-23T16:09:50.335+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022101.1 already exists. Skipping.
[2026-01-23T16:09:50.342+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022102.1 already exists. Skipping.
[2026-01-23T16:09:50.348+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022103.1 already exists. Skipping.
[2026-01-23T16:09:50.355+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022201.1 already exists. Skipping.
[2026-01-23T16:09:50.363+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022202.1 already exists. Skipping.
[2026-01-23T16:09:50.371+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022203.1 already exists. Skipping.
[2026-01-23T16:09:50.386+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022301.1 already exists. Skipping.
[2026-01-23T16:09:50.395+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022302.1 already exists. Skipping.
