[2026-01-23T16:09:48.766+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250409.1 already exists. Skipping download.
[2026-01-23T16:09:48.773+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250410.1 already exists. Skipping download.
[2026-01-23T16:09:48.794+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250411.1 already exists. Skipping download.
[2026-01-23T16:09:48.807+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250412.1 already exists. Skipping download.
[2026-01-23T16:09:48.831+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250413.1 already exists. Skipping download.
[2026-01-23T16:09:48.843+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250414.1 already exists. Skipping download.
[2026-01-23T16:09:48.855+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250415.1 already exists. Skipping download.
[2026-01-23T16:09:48.864+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250416.1 already exists. Skipping download.
[2026-01-23T16:09:48.870+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250417.1 already exists. Skipping download.
[2026-01-23T16:09:48.876+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250418.1 already exists. Skipping download.
[2026-01-23T16:09:48.882+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250419.1 already exists. Skipping download.
[2026-01-23T16:09:48.886+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250420.1 already exists. Skipping download.
[2026-01-23T16:09:48.892+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250421.1 already exists. Skipping download.
[2026-01-23T16:09:48.898+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250422.1 already exists. Skipping download.
[2026-01-23T16:09:48.903+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250423.1 already exists. Skipping download.
[2026-01-23T16:09:48.909+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250424.1 already exists. Skipping download.
[2026-01-23T16:09:48.914+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250425.1 already exists. Skipping download.
[2026-01-23T16:09:48.921+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250426.1 already exists. Skipping download.
[2026-01-23T16:09:48.934+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250427.1 already exists. Skipping download.
[2026-01-23T16:09:48.942+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250428.1 already exists. Skipping download.
[2026-01-23T16:09:48.949+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250429.1 already exists. Skipping download.
[2026-01-23T16:09:48.957+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250430.1 already exists. Skipping download.
[2026-01-23T16:09:48.967+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250501.1 already exists. Skipping download.
[2026-01-23T16:09:48.981+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250502.1 already exists. Skipping download.
