[2026-01-20T21:00:10.303+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250527.1 already exists. Skipping download.
[2026-01-20T21:00:10.306+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250528.1 already exists. Skipping download.
[2026-01-20T21:00:10.309+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250529.1 already exists. Skipping download.
[2026-01-20T21:00:10.312+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250530.1 already exists. Skipping download.
[2026-01-20T21:00:10.316+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250531.1 already exists. Skipping download.
[2026-01-20T21:00:10.321+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250601.1 already exists. Skipping download.
[2026-01-20T21:00:10.324+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250602.1 already exists. Skipping download.
[2026-01-20T21:00:10.329+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250603.1 already exists. Skipping download.
[2026-01-20T21:00:10.332+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250604.1 already exists. Skipping download.
[2026-01-20T21:00:10.335+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/06/marginalpdbc_20250605.1 already exists. Skipping download.
